x,y,correct,coherence
182.8,41.3,0,0.064
186.4,40.6,0,0.128
195.6,43.7,0,0.064
196,43,1,0
197.5,43.8,1,0.064
199.4,45.4,1,0.512
203.1,47.1,1,0.512
203.9,42.9,0,0
207.6,44.9,1,0.256
207.6,45.1,1,0.032
208.6,48.1,1,0.512
211.4,44.4,1,0.128
212.4,50.3,1,0.512
213.5,40.2,0,0.512
218.9,40.8,0,0.256
223.1,48,1,0.256
225.2,52.1,1,0.512
230.4,44.3,1,0
232.3,45.9,1,0.128
237.1,41.8,0,0.128
238,53.7,1,0.512
238.5,44.8,1,0.064
238.5,37.3,0,0.512
242.7,44.6,0,0.064
243.1,50.2,1,0.256
245.8,46,1,0.032
248.9,55,1,0.512
250.1,47,1,0.128
251.3,38.4,0,0.256
255.2,43.1,0,0.032
257.3,46.6,1,0.064
263.5,56.4,1,0.512
266.5,48.5,1,0.128
266.8,52.4,1,0.256
268.7,47,1,0.032
269.8,44,0,0
273,39.4,0,0.128
278.6,41.1,0,0.032
279.9,34.8,0,0.512
280,44,1,0
280.4,57.3,1,0.512
282,43.2,0,0
288.3,43.3,1,0
289.1,42.1,0,0.064
290.4,50,1,0.128
291.3,58.5,1,0.512
294.4,35.8,0,0.256
298,59.4,1,0.512
298.1,36.8,0,0.128
298.9,47.5,1,0.064
303.1,54.2,1,0.256
304.3,39.2,0,0.032
307.2,60.6,1,0.512
309.3,40.7,0,0
313.8,46.5,1,0.032
314.1,32.6,0,0.512
316.6,42.3,0,0
317.6,50.5,1,0.128
321.8,62.5,1,0.512
325.1,47.7,1,0.064
327.5,42.8,1,0
332.7,39.6,0,0.032
335.2,48.7,1,0.064
335.7,56.1,1,0.256
338,38.8,0,0.032
344.6,30,0,0.512
349,40.1,0,0.064
349.7,62.9,1,0.512
350.7,44.2,1,0
353.8,50.8,1,0.128
357.5,46.5,1,0.032
357.7,36.7,0,0.128
357.9,38.4,0,0
359.1,30.5,0,0.256
362.5,27.6,0,0.512
364.2,49.7,1,0.064
371.1,45.4,1,0
377.2,58,1,0.256
378.8,52.1,1,0.128
379.5,61.3,1,0.512
387,37.5,0,0.064
397.7,53.1,1,0.128
398,46.5,1,0.032
398.5,50.2,1,0.064
398.7,28.2,0,0.256
401,58.6,1,0.256
408.6,40.5,0,0
411,35.5,0,0.128
411.5,54.3,1,0.128
415.6,29.3,0,0.512
418.5,51.6,1,0.064
423.9,55.5,1,0.128
427.3,48.2,1,0.032
431.2,52.8,1,0.064
432.6,47,1,0
440.8,59.1,1,0.256
442,39.7,0,0.032
445.4,53.9,1,0.064
447.8,57,1,0.128
450.9,49.3,1,0.032
456.1,35.5,0,0.128
462.7,38.4,0,0.064
463.9,30.7,0,0.256
464.7,41.2,0,0
465.7,47.9,1,0
469.4,55.6,1,0.064
484,57.5,1,0.128
490.7,49.9,1,0.032
491.5,48.6,1,0
493.9,60.4,1,0.256
500.6,38.2,0,0.032
502,55.9,1,0.064
502.3,28.6,0,0.256
510.9,55,1,0.064
516,50.4,1,0
517.7,25.6,0,0.256
520.6,53.7,1,0.064
524.3,40.5,0,0
524.4,57,1,0.128
527.6,60.7,1,0.256
527.9,37.1,0,0.064
536,52,1,0
542,49,1,0.032
546.1,41.9,0,0
548.2,23,0,0.256
548.7,53.2,1,0.064
555.5,34.9,0,0.128
560.4,39.8,0,0.032
560.6,55.8,1,0.128
561.9,36.6,0,0.064
569.1,54.5,1,0.064
582.2,50.3,1,0.032
584,52.6,1,0
586.5,40.4,0,0
590.5,56.2,1,0.128
596,56.9,1,0.064
601.4,57.4,1,0.128
601.9,39.8,0,0
610,51.1,1,0.032
613.7,58.9,1,0.128
621.5,60,1,0.128
621.9,37,0,0.128
624.5,52.3,1,0.032
625.2,37.5,0,0.064
631,53.6,1,0.032
631.2,57,1,0.064
635.4,41.1,0,0.032
636.1,61.4,1,0.128
639.2,54.6,1,0.032
642.4,39.9,0,0.064
646.9,37.2,0,0.128
650.1,55.8,1,0.032
653.4,51.9,1,0
656.3,41.7,0,0
659.7,39,0,0.032
661.1,58.3,1,0.064
662.7,62.3,1,0.128
670.3,59.5,1,0.064
672.9,56.7,1,0.032
674,60.4,1,0.064
675.9,38.9,0,0.128
677.8,63.7,1,0.128
684.9,61.8,1,0.064
692,52.4,1,0
693.6,42.2,0,0.064
698.9,55.3,1,0.032
708.6,41.4,0,0.032
709.6,54.4,1,0.032
710.6,43.2,0,0
710.9,62.9,1,0.064
730.1,52.8,1,0.032
737.5,63.9,1,0.064
738.5,54.1,1,0
743.8,52.7,1,0.032
744.4,40.8,0,0.064
747.6,45.6,0,0
751.3,55.4,1,0
751.8,38.1,0,0.064
758.8,35.6,0,0.064
762,54,1,0.032
766.9,56.8,1,0
778.7,55.4,1,0.032
780.3,41.5,0,0.032
792.9,56.8,1,0.032
799,41.6,0,0.032
801.8,54.7,1,0
814.3,52.9,1,0
817.1,47,0,0
825,51.3,1,0
833.2,49.4,1,0